Title,Ideology,Country,URL,TWHandle,TWSim,YTId,YTUser
1010 Wins AM,Center,USA,https://1010wins.radio.com,1010wins,0.1538461538,UCbD4USIyNGKCdL3cWah1GGg,
12 News,Center,USA,https://www.12news.com,12news,1,UCu7G08TrwPx_0WH4M7OxjIQ,
24ur.com,Center,Slovenia,https://www.24ur.com,24ur_com,0.6666666667,,
2ndVote,Right,USA,https://2ndvote.com,2ndvote,1,UCcJDTHi0Sc3HjdVKDyMf1aQ,2ndvote
38 North,Center,USA,https://www.38north.org,38northnk,0.875,UCqGTB2EQ5rBTFi32gxTtzdw,38northNK
680 News,Center,Canada,https://www.680news.com,680news,1,UCH5U-fa5wNK2xNlIyBfMe4A,660News
71 Republic,Right-center,USA,https://71republic.com,71republicmedia,0.8,UC_3m4qhO-atwb9qva7aBNqQ,
7News,Right-center,Australia,https://7news.com.au,7newsaustralia,0.5263157895,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS
9 News (Australia),Right-center,NA,https://www.9news.com.au,9newsaus,0.7692307692,UCIYLOcEUX6TbBo7HQVF2PKA,9NEWSAUSTRALIA
9News KUSA,Center,USA,https://www.9news.com,9news,1,UC72nbKQLSDyiSARhg0Ywj4w,9newsdenver
ABC News,Left-center,USA,https://abcnews.go.com,abc,0,UCBi2mrWuNuyYy4gbM6fU18Q,ABCNews
ABC News Australia,Left-center,Australia,https://www.abc.net.au,abcnews,0.6,UCkx5FX_VclbfTW-J5txx28Q,abcaustralia
ABC11 Eyewitness News,Left-center,USA,https://abc11.com,abc11_wtvd,0.6666666667,UCe7cIhm4_RWsThRzBCXtmOQ,ABC11WTVD
ABC12 News (WJRT),Center,USA,https://www.abc12.com,abc12wjrt,0.7142857143,,
Abort73,Right,USA,https://abort73.com,abort73,1,UCqmNXuT6zlHpz3mCdXVCohw,abort73
Above The Law,Left-center,USA,https://abovethelaw.com,atlblog,0.3333333333,,
ABS CBN News,Center,Philippines,https://news.abs-cbn.com,abscbnnews,0.7058823529,UCE2606prvXQc_noEqKxVJXA,TheABSCBNNews
Accuracy in Academia (AIA),Right,USA,https://www.academia.org,campusreport,0.3,UCqiHC28K1smyyR2-lSAs93w,aiacademia
AceShowbiz (ASB),Left-center,Unknown,https://www.aceshowbiz.com,aceshowbiz,1,,
Act.TV,Left,USA,https://www.act.tv,actdottv,0.5454545455,UC7yoXZ7c8ZZAimgcqHBtHoQ,
Acting Man,Right,NA,https://acting-man.com,acting_man,0.9,,
Ad Fontes Media,Center,USA,https://www.adfontesmedia.com,adfontesmedia,1,UCdkMUzIIVD4nJfw0b5pRT_g,
