category,french
funct,fonction
pronoun,pronom
ppron,pronomp
i,je
we,nous
you,vous
shehe,il
they,ils
ipron,pronomimp
article,article
verb,verbe
auxverb,verbeauxi
past,verbepassé
present,verbeprésent
future,verbefutur
adverb,adverbe
preps,préposition
conj,conjonction
negate,négation
quant,quantifieur
number,nombre
swear,juron
social,social
family,famille
friend,ami
humans,humain
affect,affect
posemo,émopos
negemo,émonég
anx,anxiété
anger,colère
sad,tristesse
cogmech,cognition
insight,perspicacité
cause,cause
discrep,divergence
tentat,tentative
certain,certitude
inhib,inhibition
incl,inclusion
excl,exclusion
percept,perception
see,voir
hear,entendre
feel,sentir
bio,biologique
body,corps
health,santé
sexual,sexualité
ingest,alimentation
relativ,relativité
motion,mouvement
space,espace
time,temps
work,travail
achieve,accomplissement
leisure,loisir
home,maison
money,argent
relig,religion
death,mort
assent,consentement
nonfl,hésitation
filler,remplisseur
